#ID1,ID2,COST
2,1,0.09999999999999996
3,2,0.1
4,3,0.09999999999999999
5,3,0.05720194010953532
6,4,0.10000000000000002
7,5,0.10000000000000003
8,7,0.10000000000000002
9,8,0.1
10,2,0.08697901704794055
11,9,0.09999999999999999
12,11,0.1
13,12,0.1
14,6,0.1
15,14,0.1
16,11,0.048696540618737544
17,13,0.1
18,17,0.1
19,18,0.1
20,15,0.1
21,19,0.06928899220940031
22,3,0.043808584534888166
23,9,0.042478629805078695
24,16,0.09999999999999998
25,21,0.10000000000000003
26,3,0.03019097414656467
27,25,0.1
28,27,0.09999999999999998
29,20,0.1
30,4,0.07116677380010783
31,29,0.09999999999999998
32,29,0.10000000000000003
33,32,0.09999999999999998
34,6,0.03936688818182603
35,28,0.026940166131909245
36,33,0.09999999999999998
37,35,0.10000000000000003
38,10,0.02024491294127982
39,11,0.08829696598822616
40,36,0.1
41,40,0.10000000000000002
42,37,0.05346788846473478
43,39,0.1
44,33,0.05785820732613899
45,10,0.0828424552992003
46,36,0.05000975814684076
47,18,0.09999999999999999
48,24,0.09999999999999998
49,44,0.082378038335469
50,48,0.09048953080455552
51,19,0.019949318174233642
52,47,0.10000000000000005
53,12,0.04865377837107238
54,29,0.04039571723815439
55,9,0.03650505160737005
56,41,0.10000000000000003
57,25,0.005311920743553333
58,8,0.036438375000705646
59,27,0.06227494831672343
60,37,0.003652636606011326
61,54,0.017761897421165306
62,5,0.03317745318736808
63,2,0.018349068940032295
64,52,0.1
65,64,0.09999999999999998
66,6,0.009815698353385955
67,33,0.025580407991056535
68,39,0.024393107633099962
69,20,0.02645875867016385
70,55,0.06734488696256014
71,4,0.03152619063497949
72,52,0.051782830864229946
73,65,0.10000000000000003
74,60,0.038712433403236254
75,56,0.1
76,28,0.061618099448670444
77,18,0.1
78,73,0.09999999999999999
79,32,0.039044206865666245
80,49,0.047634572528784176
81,31,0.057083760631713866
82,54,0.031699471604428986
83,48,0.020624763747081387
84,53,0.01375122176390157
85,40,0.022806292466352806
86,78,0.1
87,51,0.003475888375653043
88,70,0.030325012778233115
89,32,0.03726123188019935
90,78,0.045018238033831336
91,76,0.10000000000000002
92,59,0.09447224883530617
